Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Oyarzabal.jpg;Mikel Oyarzabal;Josu Hernáez;Adolfo Sarasketa;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/RCApelotari.jpg;Roberto Cano Aja;Alex Aranzábal Mínguez;Juan Antonio Gisasola;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/JulenBollain.jpg;Julen Bollain;Luis Carlos de la Peña;Eneko Andueza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Aranz%C3%A1bal.jpg;Alex Aranzábal Mínguez;Roberto Cano Aja;Juan Antonio Gisasola;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/%28Eneko%20Andueza%29%20Pedro;Eneko Andueza;Luis Carlos de la Peña;Julen Bollain;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/EHSukarra.jpg;Mikel Gorosabel;Fernango Goenaga Iribarren;Juan Bautista Gisasola;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/EHSukarra.jpg;Mikel Gorosabel;Fernango Goenaga Iribarren;Bixente Martinez;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Oier%20Gorosabel%20Txikillana;Oier Gorosabel Larrañaga;Luistxo Fernandez;Asier Sarasua Aranberri;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Diferentes%20autoridades%20en;Antonio Paguaga Paguaga;Luis Carlos de la Peña;Eneko Andueza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Serrano%20%28Josu%20M;Asier Serrano;Antonio Iturrioz;Edu Zabala;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Larra%C3%B1aga%2;Iñaki Larrañaga Iglesias;Ignacio Zuloaga;Jacinto Olabe;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Larra%C3%B1aga%2;Iñaki Larrañaga Iglesias;Jose Zugasti;Asier Laspiur;https://eu.wikipedia.org/;
