Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A1nchez%20recibe%20a%20l;Uxue Barkos;Sagrario Aleman;Ainhoa Aznarez;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Gregorio Monreal;Alejandro Tapia Perurena;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Ignacio Baleztena Azkarate;Carlos Garaikoetxea Urriza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Gregorio Monreal;Ignacio Baleztena Azkarate;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Sagrario%20Aleman%20%28Josu%2;Sagrario Aleman;Uxue Barkos;Ainhoa Aznarez;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Eusk;Gregorio Monreal;Arturo Kanpion;Pello Lizarralde;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Entrega%20del%20Premio%20Eusk;Gregorio Monreal;Arturo Kanpion;Joseba Asiron;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Pello%20lizarralde.jpg;Pello Lizarralde;Gregorio Monreal;Alejandro Tapia Perurena;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Pello%20lizarralde.jpg;Pello Lizarralde;Pernando Barrena;Aingeru Epaltza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Asir%C3%B3n%202015.j;Joseba Asiron;Gregorio Monreal;Ignacio Baleztena Azkarate;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg;Ignacio Baleztena Azkarate;Arturo Kanpion;Carlos Garaikoetxea Urriza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Baleztena.jpg;Ignacio Baleztena Azkarate;Arturo Kanpion;Gregorio Monreal;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Asisko%20Urmeneta%20Durangon.;Asisko Urmeneta;Gregorio Monreal;Pello Lizarralde;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Asisko%20Urmeneta%20komikilar;Asisko Urmeneta;Gregorio Monreal;Pello Lizarralde;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Gregorio Monreal;Alejandro Tapia Perurena;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Ignacio Baleztena Azkarate;Carlos Garaikoetxea Urriza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg;Arturo Kanpion;Gregorio Monreal;Ignacio Baleztena Azkarate;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Euskaltzaindia%20Arantzazu%20;Jose Luis Lizundia;Arturo Kanpion;Gregorio Monreal;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Euskaltzaindia%20Arantzazu%20;Jose Luis Lizundia;Arturo Kanpion;Gregorio Monreal;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Maiorga%20Ram%C3%ADrez.jpg;Maiorga Ramirez;Gregorio Monreal;Joseba Asiron;https://eu.wikipedia.org/;
