Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Elixabete%20Sarasola%20%28608;Elixabete Sarasola;Itsaso Nabaskues;Maialen Zelaia;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Capit%C3%A1n%20de%20Intanteri;Fausto García Pérez;Cándido Orbe Gaitan de Aiala;Lesmes de Basterrica;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg;Fernando Aranburu;Iñaki Gil de San Vicente;Anton Mendizabal;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg;Fernando Aranburu;Theo van Doesburg;Jorge Oteiza;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg;Fernando Aranburu;Joan Mari Irigoien;Karlos del Olmo;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20aranburu%20001.jpg;Fernando Aranburu;Jon Etxaide;Pío Baroja;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG;Anton Uriarte;José Luis Olaizola;Alberto Borges;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Uriarte.JPG;Anton Uriarte;Alberto Prieto Espinosa;Paco Etxeberria;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Vasallo%20Tr%C3%ADo%2;Diego Vasallo;Javier Aramburu;Juan José Ocón;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Vasallo%20Tr%C3%ADo%2;Diego Vasallo;Bonifacio Alfonso;Edmundo Markuleta;https://eu.wikipedia.org/;
Herrikideak;Nor da argazkiko pertsona?;http://commons.wikimedia.org/wiki/Special:FilePath/Jaime%20Bores.jpg;Jaime Bores;Alberto Delgado;Bruno Oteiza;https://eu.wikipedia.org/;
